"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","Gini"
"100","moreInequality",2095,4,"RUS",5.74932173242067,10.8715798562266,16.4132509976922,23.6513723372882,43.3144750763722,0.351640417657349
"101","moreInequality",2095,5,"NRE",2.49157857521505,5.97853196068103,12.5051446540782,24.1986353451035,54.8261094649222,0.491556655672827
"102","moreInequality",2095,6,"CHN",3.73358649268804,10.1705805513689,16.5630575461335,24.487786096925,45.0449893128846,0.387760045824238
"103","moreInequality",2095,7,"IND",4.62308162164975,8.49376379166465,13.2762387428588,20.7224430976256,52.8844727462012,0.435005836360327
"104","moreInequality",2095,8,"MEA",1.28418637943324,5.22876862934188,11.0081114121258,21.7975453092425,60.6813882698567,0.541452721912837
"105","moreInequality",2095,9,"AFR",0.75653977475856,1.75681553664499,6.79573948748887,17.5104551641279,73.1804500369798,0.64240583197655
"106","moreInequality",2095,10,"LTM",1.8412002508862,5.40686454851264,11.7249308323859,20.5687871658266,60.4582172023887,0.529583828884138
"107","moreInequality",2095,11,"OHI",4.63957800008868,10.2583082630358,16.1318949048381,23.4397550387385,45.5304637932991,0.379852857861913
"108","moreInequality",2095,12,"NOA",2.252090091715,5.31654938350486,10.8376767776622,22.2659147445978,59.3277690025202,0.524402899954101
"109","moreInequality",2105,1,"USA",1.3718479025134,5.79040951990997,13.0997899314961,22.7876472474944,56.9503053985861,0.51261662086637
"110","moreInequality",2105,2,"EUR",5.86924378297236,11.220110898875,17.2675070636095,23.8724889374445,41.7706493170987,0.337820760257047
"111","moreInequality",2105,3,"JPN",4.44409957620019,10.111242809301,16.3856366455311,24.6489387191705,44.4100822497972,0.377878634267272
"112","moreInequality",2105,4,"RUS",5.50393466493936,10.5844727106243,16.2602165409963,23.6734537194535,43.9779223639865,0.360147811768277
"113","moreInequality",2105,5,"NRE",2.2803969706418,5.49769673764766,12.1822113510464,24.1586090749191,55.8810858657451,0.503449173537889
"114","moreInequality",2105,6,"CHN",3.49754830426968,9.82776930041788,16.3749029966686,24.4913588511084,45.8084205475355,0.397141334017152
"115","moreInequality",2105,7,"IND",4.37938419156413,8.1298372500413,13.0280172403772,20.6543717005013,53.808389617516,0.445530183882953
"116","moreInequality",2105,8,"MEA",1.12513039420251,4.67556949030397,10.5947350823488,21.6452036705247,61.9593613626201,0.554552387082172
"117","moreInequality",2105,9,"AFR",0.637400727386158,1.08449581144798,6.2453292127155,17.2192718815312,74.8135023669192,0.657947920807656
"118","moreInequality",2105,10,"LTM",1.65322596191727,4.88623714557239,11.3571598717974,20.4149804713698,61.6883965493432,0.542396346785713
"119","moreInequality",2105,11,"OHI",4.39579789845036,9.93739349845017,15.9530830428767,23.4377462445328,46.27597931569,0.389042865682114
"120","moreInequality",2105,12,"NOA",2.04840472503854,4.81083824355216,10.4655413004714,22.1702688956393,60.5049468352987,0.537090068653487
"121","moreInequality",2115,1,"USA",1.21748558789566,5.26430138607054,12.7463443270642,22.6630486662751,58.1088200326945,0.524725664352744
"122","moreInequality",2115,2,"EUR",5.63456266318381,10.9466344296204,17.136882472262,23.8978875399671,42.3840328949667,0.345800763912207
"123","moreInequality",2115,3,"JPN",4.21278803782266,9.78688300218498,16.2094908660426,24.6679890516578,45.122849042292,0.386804916263902
"124","moreInequality",2115,4,"RUS",5.26902097426483,10.2903833138174,16.1001998330959,23.6885528504142,44.6518430284076,0.368655239813349
"125","moreInequality",2115,5,"NRE",2.08711472936929,5.00492860574713,11.8473451391474,24.1066498958675,56.9539616298687,0.515341656760808
"126","moreInequality",2115,6,"CHN",3.27643250388248,9.47500979077937,16.1768001885163,24.4849833466043,46.5867741702176,0.406522612102241
"127","moreInequality",2115,7,"IND",4.14853283305817,7.75734666069818,12.7712316901759,20.5777362556572,54.7451525604105,0.456054503959183
"128","moreInequality",2115,8,"MEA",0.985774669652692,4.10923684414545,10.1682252454511,21.4797285246864,63.2570347160644,0.567652035067821
"129","moreInequality",2115,9,"AFR",0.637400727386158,1.08449581144798,6.2453292127155,17.2192718815312,74.8135023669192,0.657947920807656
"130","moreInequality",2115,10,"LTM",1.48444259653005,4.35281579357766,10.9765949621544,20.2483798278584,62.9377668198794,0.555208857122899
"131","moreInequality",2115,11,"OHI",4.16482687943844,9.60793934544698,15.7657317924978,23.4271980619095,47.0343039207074,0.398232834768191
"132","moreInequality",2115,12,"NOA",1.86314123622157,4.29284585169314,10.0811245713742,22.0623417947744,61.7005465459367,0.549777235254678
