CountryA3,studyyear,Type,Exp.Inc,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Study,Region,Country,pcGDP2014db,pcGDP,distyear,q1,q2,q3,q4,q5,e1,e2,e3,e4,e5,i1,i2,i3,i4,i5,costS1,costS2,costS3,costS4,costS5,ei1,ei2,ei3,ei4,ei5,Revision
AUS,2004,CGE,Inc,2.8,1.5,1.1,0.85,0.65,Siriwardana et al 2011,OHI,Australia,31939.79269,33990.85446,2004,7.4625,12.2,16.88125,23.06,40.385,8.176858262,12.76612324,17.30561905,23.09431567,38.65833378,7.153996797,11.91895643,16.65222619,23.00562557,41.25794502,19.52366925,17.42545634,17.85334738,19.05933053,26.1381965,7.153996797,11.91895643,16.65222619,23.00562557,41.25794502,0
AUS,2015,CGE,Inc,0.16,0.59,0.75,0.74,0.66,Sajeewani et al 2015,OHI,Australia,39064.04354,39064.04354,2014,6.551428571,11.35857143,16.05428571,22.38428571,43.62142857,7.328908084,12.01525384,16.55774234,22.46515057,41.61723087,6.551428571,11.35857143,16.05428571,22.38428571,43.62142857,1.609069524,10.28713742,18.48294059,25.42692117,44.1939313,6.551428571,11.35857143,16.05428571,22.38428571,43.62142857,0
CAN,2006,CGE,Inc,0.21,0.33,0.54,0.62,0.65,Beck et al 2015,OHI,Canada,35736.52576,35414.82245,2006,5.4,11.5,17.13333333,23.83333333,42.1,5.840433601,11.88897014,17.43127072,23.86181257,40.97751297,5.4,11.5,17.13333333,23.83333333,42.1,2.013398987,6.737962218,16.42677904,26.23573694,48.58612282,5.4,11.5,17.13333333,23.83333333,42.1,0
CHL,2006,Direct,Exp,0.59,1.485,2.2,3.33,4.16,Agostini & Jimenez 2015,LatAm,Chile,13201.32063,15452.401,2006,4.681666667,8.738333333,12.95833333,19.67166667,53.95,5.670979677,9.759088794,13.93287682,20.20815635,50.42889836,4.681666667,8.738333333,12.95833333,19.67166667,53.95,1.027705346,4.45137555,9.415036134,20.66947471,64.43640826,5.670979677,9.759088794,13.93287682,20.20815635,50.42889836,1
IND,2009,Direct,Exp,1.6,1.95,2.8,4.35,5.95,Anand et al 2013,India,India,2860.550527,3210.780387,2010,8.31,12.05833333,15.78333333,21.205,42.67666667,8.31,12.05833333,15.78333333,21.205,42.67666667,6.959710613,10.95144836,14.88652989,20.92903708,46.27327406,3.112570844,5.504528631,10.3455837,21.5936358,59.44368102,8.31,12.05833333,15.78333333,21.205,42.67666667,1
USA,2004,CGE,Inc,3.62,2.185,1.735,1.43,1.065,Burtraw et al 2009,USA,USA,43273.71098,43205.99843,2004,4.737142857,10.08285714,15.39428571,22.65714286,47.14285714,5.195809399,10.56156386,15.81329219,22.79233904,45.65128123,4.737142857,10.08285714,15.39428571,22.65714286,47.14285714,11.54813698,14.83617439,17.98646827,21.81865899,33.81056138,4.737142857,10.08285714,15.39428571,22.65714286,47.14285714,1
IND,2004,Direct,Exp,2.8,2.9,3.15,3.6,3.5,Datta 2010,India,India,2074.472921,2479.217291,2005,6.3425,10.23,14.16875,20.72375,48.28375,6.651021117,10.60569894,14.56283308,21.01849608,47.16070079,5.527849234,9.545068762,13.60342813,20.52926069,50.54439318,5.542825275,9.154236393,13.6534139,22.52106736,49.12845708,6.651021117,10.60569894,14.56283308,21.01849608,47.16070079,1
USA,1998,IO,Inc,6.6,3.7,3.1,2.7,1.7,Dinan & Rogers 2002,USA,USA,38394.34823,38322.45409,1998,3.79,9.405,15.215,22.96,48.63,3.79,9.405,15.215,22.96,48.63,3.79,9.405,15.215,22.96,48.63,9.940312031,13.82857393,18.74349274,24.63499734,32.85262397,3.79,9.405,15.215,22.96,48.63,1
USA,2003,EMI,Inc,15.26111111,16.63478261,19.96923077,22.39655172,30.30967742,Grainger & Kolstad 2010,USA,USA,42077.92452,42011.73886,2003,3.625,9.11,15,23.12,49.19,3.625,9.11,15,23.12,49.19,3.625,9.11,15,23.12,49.19,14.59396917,15.9075904,19.09627262,21.41748284,28.98468497,3.625,9.11,15,23.12,49.19,1
USA,2003,IO,Inc,3.35,2.15,1.625,0.685,0.9,Hassett et al 2009,USA,USA,42077.92452,42011.73886,2003,3.625,9.11,15,23.12,49.19,3.625,9.11,15,23.12,49.19,3.625,9.11,15,23.12,49.19,10.44952198,16.85390116,20.97433645,13.62768251,38.0945579,3.625,9.11,15,23.12,49.19,1
